# Format:
#   Sub Package: 0. normal 1. subpkg
#   Url Type: 1. github 2. google 3. bitbucket 4. sogou 5. tragtor 6. youdao
#     7. opera 8. pacman 9. apt 10. nginx 11. ccal 12. sandbox 14. wps
#     20. qt-installer-freamwork 21. pycharm 22. nvidia
#   Name, Url, Branch, RPM Commit, RPM Update Time, Others

0,1,freshplayerplugin,https://github.com/i-rinat/freshplayerplugin,master,51946f8,160412,freshplayerplugin-0.3.5-1.git51946f8.fc23.src.rpm

0,1,shadowsocks,https://github.com/mengskysama/shadowsocks-rm,feature-ota,767b921,151216,python-shadowsocks-2.8.3-1.git767b921.fc23.src.rpm
0,1,shadowsocks-qt5,https://github.com/librehat/shadowsocks-qt5,master,4540be9,160522,shadowsocks-qt5-2.7.0-1.git4540be9.fc24.src.rpm
1,1,libQtShadowsocks,https://github.com/librehat/libQtShadowsocks,master,c60df46,160512,libQtShadowsocks-1.9.0-1.gitc60df46.fc24.src.rpm

0,5,tragtor,http://repository.mein-neues-blog.de:9000,None,None,150721,tragtor-0.9.2-1.fc23.src.rpm
0,1,doubanfm-qt,https://github.com/zonyitoo/doubanfm-qt,master,826e8a2,151205,doubanfm-qt-2.2-2.git826e8a2.fc23.src.rpm
0,1,moonplayer,https://github.com/coslyk/moonplayer,master,0b43fc7,160601,moonplayer-0.61-1.git0b43fc7.fc24.src.rpm
0,1,musicbox,https://github.com/darknessomi/musicbox,master,8a72cc8,160521,musicbox-0.2.2.10-1.git8a72cc8.fc24.src.rpm

0,1,deepin-music-player,https://github.com/linuxdeepin/deepin-music,master,c43b01d,150617,deepin-music-player-2.3.0-1.gitc43b01d.fc22.src.rpm
1,1,deepin-ui,https://github.com/linuxdeepin/deepin-ui,master,8d75806,150701,deepin-ui-1.0.4-1.git8d75806.fc22.src.rpm
1,1,deepin-utils,https://github.com/linuxdeepin/deepin-utils,master,8aaf2a6,140509,deepin-utils-0.0.2-1.git8aaf2a6.fc22.src.rpm
1,1,deepin-gsettings,https://github.com/linuxdeepin/deepin-gsettings,master,a64de3a,131016,deepin-gsettings-0.1-1.gita64de3a.fc22.src.rpm
0,1,dmusic-baidumusic,https://github.com/sumary/dmusic-plugin-baidumusic,master,ad7dbfc,140318
1,1,pyjavascriptcore,https://github.com/sumary/pyjavascriptcore,master,0bdc416,130723,pyjavascriptcore-0.0003-1.git0bdc416.fc22.src.rpm
0,1,dmusic-neteasemusic,https://github.com/wu-nerd/dmusic-plugin-NeteaseCloudMusic,master,f10a4bc,150618

0,1,deepin-screenshot,https://github.com/linuxdeepin/deepin-screenshot,master,753410c,150703,deepin-screenshot-3.0.2-1.git753410c.fc22.src.rpm
1,1,deepin-menu,https://github.com/linuxdeepin/deepin-menu,master,7557d46,150617,deepin-menu-2.90.0-1.git7557d46.fc22.src.rpm
1,1,deepin-qml-widgets,https://github.com/linuxdeepin/deepin-qml-widgets,master,a864d6f,150701,deepin-qml-widgets-2.3.0-1.gita864d6f.fc22.src.rpm
1,1,python-xpybutil,https://github.com/BurntSushi/xpybutil,master,8ee7dc4,150318,python-xpybutil-0.0.1-1.git8ee7dc4.fc22.src.rpm

0,1,winetricks,https://github.com/Winetricks/winetricks,master,4c2dc6c,160225,winetricks-20160219-1.git4c2dc6c.fc23.src.rpm
1,1,winetricks-zh,https://github.com/hillwoodroc/winetricks-zh,master,37e58cf,160111

0,1,deepin-movie,https://github.com/linuxdeepin/deepin-movie,master,53adfc6,150701,deepin-movie-2.2.2-2.git53adfc6.fc22.src.rpm
#1,1,deepin-menu,https://github.com/linuxdeepin/deepin-menu,master,7557d46,150617
#1,1,deepin-utils,https://github.com/linuxdeepin/deepin-utils,master,8aaf2a6,140509
#1,1,deepin-qml-widgets,https://github.com/linuxdeepin/deepin-qml-widgets,master,a864d6f,150701
1,1,dbus-factory,https://github.com/linuxdeepin/dbus-factory,master,402c0f2,150701,dbus-factory-2.90.0-1.git402c0f2.fc22.src.rpm
1,1,dbus-generator,https://github.com/linuxdeepin/go-dbus-generator,master,84ee26c,141120,dbus-generator-0.0.3-1.git84ee26c.fc22.src.rpm
1,1,golang-dlib,https://github.com/linuxdeepin/go-lib,master,98ac007,150703,golang-dlib-0.3.0-1.git98ac007.fc22.src.rpm
#1,1,python-xpybutil,https://github.com/BurntSushi/xpybutil,master,8ee7dc4,150318
1,1,qtav,https://github.com/wang-bin/QtAV,master,c8f88a0,160328,qtav-1.10.0-2.gitc8f88a0.fc23.src.rpm

0,1,baka-mplayer,https://github.com/u8sand/Baka-MPlayer,master,e1df4b4,151202,baka-mplayer-2.0.4-1.gite1df4b4.fc23.src.rpm

0,1,cutegram,https://github.com/Aseman-Land/Cutegram,master,1dbe279,160112,cutegram-2.7.1-1.git1dbe279.fc23.src.rpm
1,1,libqtelegram-ae,https://github.com/Aseman-Land/libqtelegram-aseman-edition,master,4ad3aae,160112,libqtelegram-ae-6.1-1.git4ad3aae.fc23.src.rpm
1,1,libtelegramqml,https://github.com/Aseman-Land/TelegramQML,master,f7e7ef4,160116,libtelegramqml-0.9.2-1.gitf7e7ef4.fc23.src.rpm

0,8,pacman,https://projects.archlinux.org/pacman.git/refs,None,f38de43,160223,pacman-5.0.1-1.gitf38de43.fc23.src.rpm
1,1,package-query,https://github.com/archlinuxfr/package-query,master,a2e8235,160212,package-query-1.7-1.gita2e8235.fc23.src.rpm
1,1,yaourt,https://github.com/archlinuxfr/yaourt,master,56818c0,160208,yaourt-1.7-1.git56818c0.fc23.src.rpm

0,9,apt,https://anonscm.debian.org/cgit/apt/apt.git/refs,None,ab4d574,160227,apt-1.2.4-1.fc23.src.rpm,http://ftp.debian.org/debian/pool/main/a/apt

#!0,1,ue4,https://github.com/EpicGames/UnrealEngine,master,311e18f,141231,ue4-4.9.0-2.git311e18f.fc22.src.rpm
#!0,10,unity-editor,http://unity3d.com,None,None,141231,unity-editor-5.1.0f3-1.fc22.src.rpm
